#Node1	Node2	weight
Q00653	Q04206	0.75
Q00653	P31689	0.75
Q00653	Q15653	0.75
Q00653	Q13114	0.473922
Q00653	P51532	0.473922
Q00653	P40763	0.710749
Q00653	Q12933	0.75
Q9Y2S0	O15160	0.473922
Q9Y2S0	P43364	0.473922
Q9Y2S0	Q9H9Y6	0.473922
Q9Y2S0	O95602	0.473922
Q9Y2S0	P62263	0.473922
Q9Y2S0	Q9GZS1	0.473922
Q9Y2S0	P52434	0.473922
Q9Y2S0	Q15653	0.473922
P23396	Q9Y6K9	0.75
P23396	P62993	0.75
P23396	P62263	0.697741
P23396	P25963	0.75
P23396	Q12933	0.75
P23396	Q06187	0.75
P23396	P19438	0.75
P23396	P03372	0.311133
P23396	O75530	0.710749
P23396	P05412	0.41388500000000006
P23396	O14980	0.311133
P23396	P19838	0.75
P23396	P20333	0.75
P23396	Q15628	0.75
P23396	P32121	0.710749
P23396	Q04206	0.75
P23396	Q00653	0.75
P23396	Q92905	0.311133
O95602	Q9Y2S0	0.473922
O95602	Q9GZS1	0.75
O95602	P62875	0.75
O95602	Q9H9Y6	0.75
O95602	Q9Y230	0.710749
O95602	P32121	0.710749
O95602	P52434	0.75
O95602	Q15653	0.75
O95602	Q04864	0.608042
O95602	O15160	0.75
P33993	Q9Y4K3	0.75
P33993	Q9Y6K9	0.75
P33993	P25205	0.75
P33993	Q9BRK4	0.41388500000000006
P33993	P25963	0.75
P33993	O00159	0.41388500000000006
P33993	P19838	0.38995799999999997
P33993	P05412	0.41388500000000006
P33993	Q14192	0.75
P33993	P06400	0.75
P33993	P33992	0.75
P33993	Q92905	0.311133
P33993	P01106	0.75
P26196	Q9GZS1	0.75
P26196	P62993	0.75
P26196	Q12933	0.181552
P26196	P41182	0.75
P26196	O75530	0.311133
P26196	O14980	0.311133
P26196	P05412	0.41388500000000006
P26196	Q99836	0.49229300000000004
P26196	Q92905	0.311133
P62993	P07910	0.75
P62993	P10275	0.75
P62993	P27986	0.75
P62993	P06400	0.75
P62993	P62263	0.75
P62993	Q06187	0.75
P62993	P43405	0.75
P62993	O00159	0.75
P62993	P19438	0.75
P62993	Q9H9Y6	0.75
P62993	Q9Y230	0.75
P62993	Q09472	0.75
P62993	P38646	0.311133
P62993	Q92922	0.75
P62993	Q04864	0.608042
P62993	P52597	0.75
P62993	P23396	0.75
P62993	Q9BRK4	0.608042
P62993	Q14164	0.75
P62993	P26196	0.75
P62993	P11142	0.75
P62993	Q15750	0.710749
P62993	P78527	0.75
P62993	Q8TAQ2	0.75
P62993	P06241	0.75
Q9BYM8	Q9Y4K3	0.710749
Q9BYM8	Q9Y6K9	0.75
Q9BYM8	Q9GZS1	0.473922
Q9BYM8	O14920	0.75
Q9BYM8	Q12933	0.75
Q9BYM8	P19438	0.311133
Q9BYM8	Q15750	0.75
Q9BYM8	Q9NYJ8	0.75
Q9BYM8	P21580	0.75
Q9BYM8	P03372	0.75
Q9BYM8	Q93009	0.28041900000000003
Q9BYM8	P49116	0.311133
Q9BYM8	P29590	0.666441
Q9BYM8	P61088	0.75
Q9BYM8	Q15628	0.75
Q9BYM8	O15111	0.75
Q9BYM8	Q13546	0.75
Q9BYM8	Q9Y6Q6	0.75
Q8TAQ2	P31749	0.710749
Q8TAQ2	Q13547	0.75
Q8TAQ2	P62993	0.75
Q8TAQ2	Q12824	0.75
Q8TAQ2	Q92769	0.75
Q8TAQ2	O14497	0.75
Q8TAQ2	Q01201	0.75
Q8TAQ2	O75530	0.311133
Q8TAQ2	Q92785	0.536469
Q8TAQ2	P05412	0.75
Q8TAQ2	P06400	0.473922
Q8TAQ2	Q92922	0.75
Q8TAQ2	P32121	0.75
Q8TAQ2	P54253	0.75
Q8TAQ2	Q15796	0.311133
Q8TAQ2	P51532	0.75
Q8TAQ2	P01106	0.75
Q8TAQ2	Q969G3	0.75
Q9NRR5	Q12824	0.75
Q9NRR5	Q13049	0.75
Q9NRR5	Q12933	0.75
Q9NRR5	P54253	0.75
Q9NRR5	P19793	0.75
Q9GZU2	Q93009	0.75
Q9GZU2	Q12933	0.75
P63279	Q13114	0.75
P63279	P07910	0.75
P63279	P78347	0.568782
P63279	P10275	0.75
P63279	Q9NYJ8	0.568782
P63279	Q9Y6X2	0.75
P63279	O14980	0.201461
P63279	Q14191	0.473922
P63279	O15111	0.568782
P63279	Q9Y4K3	0.75
P63279	P25963	0.75
P63279	P19438	0.75
P63279	P29590	0.75
P63279	P19793	0.568782
P63279	Q09472	0.75
P63279	P54253	0.75
P63279	Q9UER7	0.75
P63279	P42224	0.75
P63279	Q92793	0.75
P63279	P78527	0.568782
P63279	Q14164	0.75
P63279	Q16543	0.568782
P63279	Q13547	0.568782
P63279	P03372	0.75
P63279	P06400	0.75
P63279	P05412	0.75
P63279	Q05516	0.75
P63279	Q92905	0.205936
P31689	Q9NYJ8	0.75
P31689	Q9Y4K3	0.75
P31689	Q12933	0.75
P31689	P19438	0.75
P31689	Q15750	0.75
P31689	P17066	0.311133
P31689	P19838	0.473922
P31689	P03372	0.38995799999999997
P31689	Q92769	0.710749
P31689	P51617	0.710749
P31689	P11142	0.75
P31689	P20333	0.75
P31689	Q15628	0.75
P31689	P38646	0.201461
P31689	Q04206	0.473922
P31689	Q92905	0.311133
P31689	Q13546	0.75
P31689	Q00653	0.75
P31749	Q05397	0.674374
P31749	Q01201	0.473922
P31749	P10275	0.75
P31749	P11142	0.311133
P31749	Q04206	0.75
P31749	O15111	0.75
P31749	Q00653	0.473922
P31749	Q96RU7	0.75
P31749	Q15796	0.444309
P31749	P43405	0.75
P31749	P25963	0.311133
P31749	Q06187	0.674374
P31749	Q09472	0.75
P31749	Q92922	0.75
P31749	P38646	0.311133
P31749	P54253	0.75
P31749	P12931	0.75
P31749	P23396	0.674374
P31749	P42224	0.75
P31749	Q92793	0.75
P31749	Q9Y6K9	0.75
P31749	P19838	0.473922
P31749	P51617	0.75
P31749	Q12824	0.75
P31749	O14920	0.75
P31749	P03372	0.75
P31749	Q04864	0.473922
P31749	P32121	0.75
P31749	Q8TAQ2	0.710749
Q969G3	Q12824	0.75
Q969G3	O14497	0.75
Q969G3	Q01201	0.75
Q969G3	P10275	0.75
Q969G3	P03372	0.75
Q969G3	Q92769	0.75
Q969G3	Q92785	0.536469
Q969G3	P05412	0.75
Q969G3	O14980	0.311133
Q969G3	P06400	0.473922
Q969G3	Q92922	0.75
Q969G3	P51532	0.75
Q969G3	Q13547	0.75
Q969G3	P01106	0.473922
Q969G3	Q8TAQ2	0.75
P51617	O14836	0.75
P51617	Q13114	0.348804
P51617	P52597	0.710749
P51617	Q9Y6K9	0.75
P51617	P25963	0.348804
P51617	Q9Y4K3	0.75
P51617	Q13049	0.75
P51617	O14920	0.710749
P51617	Q06187	0.75
P51617	Q15750	0.75
P51617	P42224	0.311133
P51617	Q9NYJ8	0.75
P51617	P21580	0.710749
P51617	O14980	0.311133
P51617	P11142	0.710749
P51617	Q16543	0.75
P51617	Q8IV45	0.348804
P51617	P31689	0.710749
P51617	O15111	0.710749
P51617	P01106	0.7457060000000001
P51617	P40763	0.75
P51003	Q92793	0.311133
P51003	Q13547	0.311133
P51003	Q15796	0.75
P51003	Q04864	0.75
Q14192	Q9Y4K3	0.75
Q14192	Q12933	0.650125
Q14192	P10275	0.75
Q14192	Q92793	0.311133
Q14192	P03372	0.28041900000000003
Q14192	Q92785	0.75
Q14192	P05412	0.41388500000000006
Q14192	P54253	0.75
Q14192	Q09472	0.75
Q14192	Q05516	0.75
Q14192	P33993	0.75
Q14192	Q15796	0.75
Q14192	P01106	0.7457060000000001
Q14192	P40763	0.75
Q14192	Q9Y6Q6	0.75
Q14192	Q04864	0.608042
Q15628	Q13114	0.75
Q15628	Q9Y4K3	0.311133
Q15628	Q9Y6K9	0.75
Q15628	P78527	0.75
Q15628	O14920	0.75
Q15628	P25963	0.75
Q15628	P23396	0.75
Q15628	Q12933	0.75
Q15628	Q9BYM8	0.75
Q15628	Q15750	0.75
Q15628	P42224	0.75
Q15628	Q9NYJ8	0.75
Q15628	P11142	0.75
