#u	v	pathways
P48551	P23458	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04151|hsa05200|hsa04217|hsa05167|hsa04630|hsa05168
P23458	P48551	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04151|hsa05200|hsa04217|hsa05167|hsa04630|hsa05168
P48551	P29597	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04217|hsa05167|hsa04630|hsa05168
P29597	P48551	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04217|hsa05167|hsa04630|hsa05168
P17181	P23458	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04151|hsa05200|hsa04217|hsa05167|hsa04630|hsa05168
P23458	P17181	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04151|hsa05200|hsa04217|hsa05167|hsa04630|hsa05168
P17181	P29597	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04217|hsa05167|hsa04630|hsa05168
P29597	P17181	hsa05162|hsa05165|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa04217|hsa05167|hsa04630|hsa05168
P38484	P23458	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05152|hsa05168
P23458	P38484	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05152|hsa05168
P38484	O60674	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05152|hsa05168
O60674	P38484	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05152|hsa05168
P15260	P23458	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05168
P23458	P15260	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05168
P15260	O60674	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05168
O60674	P15260	hsa05145|hsa04659|hsa05140|hsa05164|hsa04658|hsa05235|hsa05200|hsa04217|hsa04630|hsa05168
Q9UKJ1	Q06124	hsa05168
Q06124	Q9UKJ1	hsa05168
Q12933	Q9Y6K9	hsa05160|hsa05170|hsa04920|hsa05167|hsa05163|hsa05168
Q9Y6K9	Q12933	hsa05160|hsa05170|hsa04920|hsa05167|hsa05163|hsa05168
Q12933	O15111	hsa05160|hsa05170|hsa04920|hsa05167|hsa05163|hsa05168
O15111	Q12933	hsa05160|hsa05170|hsa04920|hsa05167|hsa05163|hsa05168
