#Node1	Node2	weight
P01106	Q9UJU2	0.426525
P01106	P62987	0.5556300000000001
P01106	P04792	0.435475
P01106	Q9Y4X0	0.426525
P01106	Q15796	0.75
P01106	P23470	0.426525
P01106	Q9NQB0	0.543131
P01106	P12757	0.426525
P01106	P84022	0.75
P01106	P05412	0.426525
P01106	Q9UNY4	0.426525
P01106	P12956	0.75
P01106	Q13485	0.543131
P01106	O60315	0.426525
P01106	P11021	0.426525
Q9H160	Q09472	0.75
Q9H160	Q9HAU4	0.658416
Q9H160	Q15797	0.658416
Q9H160	Q15796	0.75
Q9H160	P01106	0.426525
Q9H160	P12757	0.75
O75925	P10275	0.75
O75925	Q15797	0.717303
O75925	P12757	0.717303
O75925	Q13485	0.75
O75925	O15105	0.717303
O75925	P46937	0.426525
O75925	P84022	0.426525
P19022	P08575	0.75
P19022	Q05209	0.75
P19022	Q16827	0.75
P19022	O75581	0.75
P19022	P14923	0.75
P19022	P35222	0.75
P19022	O75197	0.75
P19022	Q12913	0.75
P19022	Q16620	0.75
P19022	P23470	0.75
P19022	O15169	0.75
Q9Y4X0	Q9Y2T1	0.75
Q9Y4X0	O75581	0.75
Q9Y4X0	P49841	0.75
Q9Y4X0	O15169	0.36467
P08107	P19838	0.75
P08107	P61981	0.75
P08107	P10275	0.75
P08107	P63104	0.75
P08107	P12830	0.426525
P08107	O43318	0.426525
P08107	P13569	0.75
P08107	P12956	0.75
P08107	P49841	0.5556300000000001
P08107	P11021	0.75
O14745	P13569	0.75
O14745	P46937	0.426525
O14745	P35222	0.75
P49841	P08107	0.5556300000000001
P49841	P15941	0.75
P49841	O15169	0.75
P49841	Q01974	0.75
P49841	P48729	0.426525
P49841	P08670	0.251739
P49841	Q9Y297	0.75
P49841	P25054	0.75
P49841	P19838	0.75
P49841	O75533	0.75
P49841	Q13469	0.75
P49841	P08621	0.75
P49841	P63104	0.75
P49841	P05412	0.606445
P49841	Q9Y2T1	0.75
P49841	Q9Y4X0	0.75
P49841	Q13418	0.75
P49841	P17844	0.75
P49841	Q15796	0.543131
P49841	Q92837	0.75
P49841	P10275	0.75
P49841	P35222	0.75
P49841	Q9Y3F4	0.75
P49841	P01106	0.75
P49841	P49840	0.75
P49841	Q04721	0.75
P49841	P61968	0.251739
P49841	P35637	0.75
Q9Y2U8	Q15797	0.717303
Q9Y2U8	Q15796	0.724644
Q9Y2U8	O15198	0.717303
Q9Y2U8	P84022	0.435475
O15169	Q9Y4X0	0.36467
O15169	P19022	0.75
O15169	P36897	0.75
O15169	Q9Y297	0.75
O15169	P25054	0.75
O15169	Q15796	0.75
O15169	O75581	0.75
O15169	P01106	0.75
O15169	P84022	0.75
O15169	Q9Y2T1	0.426525
O15169	O14641	0.75
O15169	O75197	0.75
O15169	Q92997	0.75
O15169	O15105	0.75
O15169	Q92837	0.75
O15169	P48729	0.75
O15169	Q13526	0.543131
O15169	P62136	0.75
O15169	P49841	0.75
O15169	P49840	0.75
O15169	P35222	0.75
O15169	O14640	0.75
O15169	P31749	0.75
P36897	P62987	0.658416
P36897	P63104	0.75
P36897	P27986	0.75
P36897	P84022	0.75
P36897	P62979	0.658416
P36897	Q13485	0.75
P36897	O15105	0.75
P36897	P98082	0.75
P36897	Q15796	0.75
P36897	Q9Y3F4	0.75
P36897	O15169	0.75
Q92597	P12830	0.75
Q92597	P12956	0.75
Q92597	P17844	0.75
Q92597	P61981	0.75
Q92597	P11021	0.75
Q92597	P35222	0.75
Q9NYG2	Q15797	0.717303
Q9NYG2	Q9NRR5	0.717303
P35222	P31749	0.75
P35222	P19022	0.75
P35222	P08575	0.75
P35222	Q13526	0.75
P35222	P15941	0.75
P35222	Q9UJU2	0.75
P35222	Q9NQB0	0.75
P35222	Q12778	0.717303
P35222	Q13363	0.543131
P35222	P48729	0.75
P35222	P10275	0.75
P35222	P25054	0.75
P35222	Q05209	0.75
P35222	Q8TEW0	0.75
P35222	P42336	0.75
P35222	Q9Y2T1	0.75
P35222	O14745	0.75
P35222	P27986	0.543131
P35222	Q12913	0.75
P35222	P19838	0.75
P35222	P50402	0.75
P35222	P84022	0.75
P35222	P12830	0.75
P35222	Q09472	0.75
P35222	P17844	0.543131
P35222	P63104	0.75
P35222	O94907	0.543131
P35222	Q13485	0.75
P35222	O15105	0.75
P35222	Q92597	0.75
P35222	Q16827	0.75
P35222	P00519	0.75
P35222	P15923	0.75
P35222	P14923	0.75
P35222	P01106	0.75
P35222	Q16620	0.75
P35222	P31751	0.75
P35222	P15884	0.75
P35222	P23470	0.75
P35222	P35637	0.75
P35222	P49840	0.426525
P35222	Q15796	0.75
P35222	O15169	0.75
P04792	P31749	0.426525
P04792	P10275	0.75
P04792	P19838	0.75
P04792	Q13418	0.75
P04792	P01106	0.435475
P04792	P13569	0.75
P04792	P63104	0.75
Q15796	Q9HAU4	0.75
Q15796	Q9UJU2	0.75
Q15796	Q9NQB0	0.426525
Q15796	P62987	0.75
Q15796	Q13526	0.5556300000000001
Q15796	P62979	0.75
Q15796	Q9Y2U8	0.724644
Q15796	P12757	0.75
Q15796	Q8TEW0	0.75
Q15796	P08621	0.717303
Q15796	P46937	0.39125
Q15796	P58335	0.717303
Q15796	P05412	0.75
Q15796	P84022	0.75
Q15796	Q09472	0.75
Q15796	P35222	0.75
Q15796	Q13485	0.75
Q15796	P98082	0.75
Q15796	O15198	0.717303
Q15796	Q92905	0.717303
Q15796	Q9Y3F4	0.75
Q15796	P01106	0.75
Q15796	Q9H160	0.75
Q15796	P15884	0.543131
Q15796	O60315	0.75
Q15796	Q15797	0.75
Q15796	P49841	0.543131
Q15796	O14640	0.75
Q15796	O15169	0.75
O15198	O75197	0.717303
O15198	O14686	0.717303
O15198	P22670	0.717303
O15198	Q9Y2U8	0.717303
O15198	Q9NRR5	0.717303
O15198	O75533	0.717303
O15198	P08621	0.717303
O15198	Q5T5Y3	0.717303
O15198	O94907	0.717303
O15198	Q8NAM6	0.717303
O15198	Q13485	0.75
O15198	P61968	0.717303
O15198	Q15796	0.717303
O15198	Q9UMX0	0.717303
O15198	O60315	0.717303
O14641	O14640	0.36467
O14641	P31749	0.426525
O14641	P05412	0.426525
O14641	P25054	0.75
O14641	Q04721	0.505993
O14641	Q01974	0.426525
O14641	Q9Y2T1	0.35629099999999997
O14641	P49841	0.75
O14641	Q92837	0.35629099999999997
O14641	O15169	0.75
O14686	Q15797	0.717303
O14686	O15198	0.717303
Q8N2W9	P10275	0.75
Q8N2W9	Q15797	0.717303
Q8N2W9	P12757	0.717303
Q8N2W9	Q9UJU2	0.426525
Q8N2W9	P15884	0.426525
Q8N2W9	P12956	0.543131
Q8N2W9	P46937	0.426525
Q8N2W9	O15105	0.717303
Q8N2W9	P08670	0.717303
Q8N2W9	P84022	0.426525
Q8N2W9	Q9NQB0	0.426525
Q9Y297	P25054	0.75
Q9Y297	P46937	0.75
Q9Y297	P19838	0.75
Q9Y297	P14923	0.426525
Q9Y297	P35222	0.75
Q9Y297	Q13485	0.75
Q9Y297	P49841	0.75
Q9Y297	P84022	0.75
